feel_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro1.started,image.started,key_resp_2.started,Intro1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Intro2.started,image_2.started,key_resp_3.started,Intro2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Intro3.started,image_3.started,key_resp_4.started,Intro3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,embody_q_postexp.started,body_image_3.started,mouse_body_3.started,key_resp_body_3.started,lt_text_body_3.started,rt_text_body_3.started,body_explanation_3.started,body_progress_3.started,reset_rect_3.started,reset_text_3.started,feeling_words.started,embody_q_postexp.stopped,mouse_body_3.x,mouse_body_3.y,mouse_body_3.leftButton,mouse_body_3.midButton,mouse_body_3.rightButton,mouse_body_3.time,mouse_body_3.clicked_name,key_resp_body_3.keys,key_resp_body_3.rt,key_resp_body_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.009764700000232551,0.02262459999838029,0.02262459999838029,2.0994806999988214,right,2.0756037999999535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
,,,,,,,,,,,,,,2.099502900000516,2.105831799999578,2.105831799999578,3.4399497999984305,right,1.3292579000008118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
,,,,,,,,,,,,,,,,,,,,,3.4399793000011414,3.4453500999989046,3.4453500999989046,4.946835499998997,right,1.4998845999980404,None,,,,,,,,,,,,,,,,,,,,,,,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Fearful,0,0,0,0,4.963361900001473,,,,,,,,,,,,,,,,,,,,,,,4.951548500001081,4.963361900001473,0.009154200000921264,4.963361900001473,4.963361900001473,4.963361900001473,4.963361900001473,4.963361900001473,4.963361900001473,4.963361900001473,4.963361900001473,6.32892830000128,[],[],[],[],[],[],[],return,1.3637218000003486,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Anxious,0,1,1,2,6.346947599999112,,,,,,,,,,,,,,,,,,,,,,,6.329785300000367,6.346947599999112,0.003788699999859091,6.346947599999112,6.346947599999112,6.346947599999112,6.346947599999112,6.346947599999112,6.346947599999112,6.346947599999112,6.346947599999112,6.55848849999893,[],[],[],[],[],[],[],return,0.2088766000015312,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Tired,0,2,2,7,6.567621999998664,,,,,,,,,,,,,,,,,,,,,,,6.559019000000262,6.567621999998664,0.0024062000011326745,6.567621999998664,6.567621999998664,6.567621999998664,6.567621999998664,6.567621999998664,6.567621999998664,6.567621999998664,6.567621999998664,6.743812500000786,[],[],[],[],[],[],[],return,0.17488109999976587,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Agitated,0,3,3,9,6.75300309999875,,,,,,,,,,,,,,,,,,,,,,,6.744362199999159,6.75300309999875,0.0021987000000081025,6.75300309999875,6.75300309999875,6.75300309999875,6.75300309999875,6.75300309999875,6.75300309999875,6.75300309999875,6.75300309999875,6.908215799998288,[],[],[],[],[],[],[],return,0.1535898999973142,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Sad,0,4,4,6,6.917115299998841,,,,,,,,,,,,,,,,,,,,,,,6.9087570999981835,6.917115299998841,0.0018984999987878837,6.917115299998841,6.917115299998841,6.917115299998841,6.917115299998841,6.917115299998841,6.917115299998841,6.917115299998841,6.917115299998841,7.065286699998978,[],[],[],[],[],[],[],return,0.1444260000025679,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Angry,0,5,5,3,7.074496000001091,,,,,,,,,,,,,,,,,,,,,,,7.065887100001419,7.074496000001091,0.00226459999976214,7.074496000001091,7.074496000001091,7.074496000001091,7.074496000001091,7.074496000001091,7.074496000001091,7.074496000001091,7.074496000001091,7.222947199999908,[],[],[],[],[],[],[],return,0.14628350000202772,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
Happy,0,6,6,4,7.232791800000996,,,,,,,,,,,,,,,,,,,,,,,7.223551499999303,7.232791800000996,0.002512600000045495,7.232791800000996,7.232791800000996,7.232791800000996,7.232791800000996,7.232791800000996,7.232791800000996,7.232791800000996,7.232791800000996,7.387738000001264,[],[],[],[],[],[],[],return,0.14907730000049924,None,885675,001,2024-02-21_14h56.29.541,Embody_only_20240120_psychopy202225,2023.2.3,143.83460171289,2024-02-21 14h56.35.990457 +1100,
