mouse_body_3.x,mouse_body_3.y,mouse_body_3.leftButton,mouse_body_3.midButton,mouse_body_3.rightButton,mouse_body_3.time,mouse_body_3.clicked_name,key_resp_body_3.keys,key_resp_body_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feel_word,participant,session,date,expName,psychopyVersion,OS,frameRate
"[-0.3592592592592593,-0.39166666666666666,-0.35,-0.4185185185185185,-0.3962962962962963,-0.362962962962963,-0.3453703703703704,-0.37222222222222223,-0.37962962962962965,0.38333333333333336,0.3490740740740741,0.3527777777777778,0.39814814814814814,0.3962962962962963]","[0.2814814814814815,0.22037037037037038,0.21574074074074073,0.06296296296296296,0.14814814814814814,0.1,0.19722222222222222,0.12962962962962962,0.1787037037037037,0.2564814814814815,0.24351851851851852,0.14722222222222223,0.09722222222222222,0.11203703703703703]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.742,0.8901000000238417,1.1069999999999998,1.3402999999523164,1.5572000000476836,1.8902000000476837,2.073299999952316,2.24,2.4067000000476835,3.0397999999523164,3.2232000000476844,3.389899999976158,3.6065,3.774799999952316]",[],return,6.7003,0,0,0,9,1,Shame,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[0.005555555555555556,-0.3611111111111111,-0.4064814814814815,-0.33055555555555555,-0.3638888888888889,-0.3888888888888889,-0.3638888888888889,0.3824074074074074,0.3425925925925926,0.375]","[-0.40185185185185185,0.3055555555555556,0.2916666666666667,0.225,0.16203703703703703,0.18981481481481483,0.2111111111111111,0.16203703703703703,0.10648148148148148,0.09814814814814815]","[1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[5.063100000023841,5.431199999928474,5.581899999976159,5.898699999928475,6.0822999999523155,6.266100000023842,6.533299999952316,6.799299999952316,6.9986999999284745,7.145699999928475]","[""reset_rect_3""]",return,7.7001,0,1,1,5,1,Safe,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.3425925925925926,-0.3972222222222222,-0.36203703703703705,-0.3675925925925926,0.3351851851851852,0.34629629629629627,0.3435185185185185,0.375,0.3814814814814815,0.3731481481481482,0.42314814814814816,0.37777777777777777,0.3351851851851852]","[0.24814814814814815,0.2111111111111111,0.125,0.05,0.08981481481481482,0.17222222222222222,0.0824074074074074,0.13240740740740742,0.1111111111111111,0.1175925925925926,0.10185185185185185,0.0962962962962963,0.11851851851851852]","[1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.479000000000001,0.6493999999761595,0.8163000000715268,0.9824999999999999,1.4814999999999987,1.6962000000476838,1.89960000002384,2.0649999999999995,2.2163000000715254,2.448399999976159,2.631600000023843,2.8153000000715256,2.99860000002384]",[],return,3.147,0,2,2,4,1,Depression,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.3962962962962963,-0.3537037037037037,-0.3851851851851852,-0.4027777777777778,-0.3111111111111111,-0.3787037037037037,0.2824074074074074,0.41203703703703703,0.34074074074074073,0.3537037037037037]","[0.4388888888888889,0.44166666666666665,0.3351851851851852,0.25,0.22592592592592592,0.19444444444444445,0.28425925925925927,0.25925925925925924,0.31666666666666665,0.28425925925925927]","[1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[1.8022000000476837,2.0365,2.2865,2.5023999999761593,2.685399999976159,2.8536000000238424,3.1993000000715277,3.4193000000715266,3.585300000071527,3.7521000000238445]",[],return,4.1496,0,3,3,7,1,Panic,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.45740740740740743,-0.3472222222222222,-0.325,0.2916666666666667,0.39444444444444443,0.3907407407407407,0.3592592592592593,0.3861111111111111]","[0.2712962962962963,0.20555555555555555,0.24814814814814815,0.2962962962962963,0.2518518518518518,0.2916666666666667,0.2222222222222222,0.21574074074074073]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.5808999999761575,0.7666000000238427,0.9331000000238419,1.4487000000476833,1.6488999999761589,1.7988999999761575,1.9953000000715235,2.1787000000476837]",[],return,2.3003,0,4,4,8,1,Surprise,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.37222222222222223,-0.37592592592592594,0.3194444444444444,0.38425925925925924,0.38333333333333336]","[0.26666666666666666,0.21666666666666667,0.2490740740740741,0.25462962962962965,0.24814814814814815]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6488999999761589,0.8002000000476848,1.4158999999761583,1.5957000000476853,1.7801000000238432]",[],return,1.8668,0,5,5,6,1,Sadness,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.3212962962962963,-0.38981481481481484,-0.34074074074074073]","[0.28703703703703703,0.2657407407407407,0.24814814814814815]","[1,1,1]","[0,0,0]","[0,0,0]","[0.5328999999761592,0.6986999999284755,0.8485000000000014]",[],return,1.1498,0,6,6,1,1,Anxiety,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[0.38055555555555554,0.37222222222222223,0.38333333333333336,0.36666666666666664]","[0.2712962962962963,0.27037037037037037,0.23796296296296296,0.18703703703703703]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.21560000002384072,0.38610000002384126,0.5883999999761578,0.7690000000000019]",[],return,1.0335,0,7,7,10,1,Neutral,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.39166666666666666,-0.30462962962962964,-0.45555555555555555,-0.33425925925925926,-0.37777777777777777,-0.37962962962962965,-0.3648148148148148,-0.3851851851851852,-0.3592592592592593,-0.35648148148148145,-0.42314814814814816,-0.36944444444444446,-0.3675925925925926]","[0.2898148148148148,0.19444444444444445,0.30185185185185187,0.14537037037037037,0.13703703703703704,0.18796296296296297,0.1712962962962963,0.28888888888888886,0.3111111111111111,0.25,0.25925925925925924,0.25833333333333336,0.2657407407407407]","[1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.49589999997615664,0.8490000000000002,1.0158000000715255,1.2963999999761562,1.3994999999999997,1.5657000000476842,1.7798000000715248,1.9628000000715282,2.1324999999999967,2.3490000000000038,2.4991000000238444,2.716000000000001,2.8658999999761647]",[],return,2.9657,0,8,8,0,1,Anger,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
"[-0.3962962962962963,-0.35185185185185186,-0.3638888888888889,0.40185185185185185,0.37777777777777777,0.36666666666666664]","[0.32685185185185184,0.2972222222222222,0.27314814814814814,0.262037037037037,0.24814814814814815,0.20277777777777778]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.1670000000000016,1.36390000009537,1.5672000000476842,2.113700000047686,2.3019000000953724,2.4836000000238414]",[],return,2.5505,0,9,9,3,1,Happiness,650130,001,2024-01-20_17h44.22.926,Embody_only_20240120_psychopy202225,2022.2.5,Win32,59.88023952
